رقم القطعة,الاسم بالعربي,الاسم بالإنجليزي,مجموعة EPC,الماركة,الجودة,المخزون الفعلي,سعر التكلفة EGP,سعر البيع EGP,الحد الأدنى
A0004212112,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,2,0,0,1
A0004212112 GSP,طنابير امامي GSP,Brake Disk,42 BRAKES & HYDRAULICS,GSP,AFTERMARKET,1,0,0,2
A0004212212,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,2,0,0,1
A0004212412,طنابير امامي,FRONT BRAKE DISK,42 BRAKES & HYDRAULICS,PSB,AFTERMARKET,1,0,0,1
A0004212512,طنبورة فرامل أمامية,Front Brake,01 ENGINE & TIMING,BREMO,GENUINE_OEM,4,0,0,1
A0004212712,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,1,0,0,1
A0004230512,طنابير خلفي,REAR BRAKE DISK,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,ORIGINAL,1,0,0,1
A0004230712,طنابير خلفي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,2,0,0,1
A0004231212,طنابير خلفي,(Rear Brake,42 BRAKES & HYDRAULICS,TRUCKTEK,AFTERMARKET,1,0,0,1
A0004231312,طنابير خلفي,REAR BRAKE DISK,42 BRAKES & HYDRAULICS,PSB,AFTERMARKET,1,0,0,1
A0004231812,طنابير خلفي,REAR BRAKE DISK,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,ORIGINAL,1,0,0,1
A1694210112,قرص فرامل أمامي,Front Brake Disc,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,1,0,0,1
A1694210112,طنابير امامي,Brake Discs,42 BRAKES & HYDRAULICS,china,AFTERMARKET,5,0,0,2
A2034210312,قرص فرامل أمامي,Front Brake Disc,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,3,0,0,1
A2034210512,طنابير أمامي,Brake Discs,42 BRAKES & HYDRAULICS,GSP,AFTERMARKET,2,0,0,1
A2044210012,طنابير امامي,FRONT BRAKE DISK,42 BRAKES & HYDRAULICS,Mercedes-Benz Genuine Parts,GENUINE_OEM,2,0,0,1
A2044210712,طنابير أمامي,Brake Discs,42 BRAKES & HYDRAULICS,CHINESE,AFTERMARKET,2,0,0,1
A2044210812,قرص فرامل أمامي,Front Ventilated Brake,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,7,0,0,1
A2044230512,قرص فرامل خلفي,Rear Brake Rotor,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,2,0,0,1
A2044231512,طنابير خلفي,Rear Right Solid Brake,42 BRAKES & HYDRAULICS,ROCK BERG,AFTERMARKET,4,0,0,1
A205,مقص امامي حرف U شمال,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,35,0,0,1
A20505,مقص امامي المونوم L,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,54,0,0,1
A20506,مقص أمامي المونيوم R,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,46,0,0,1
A20513,مقص أمامي حديد L,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,34,0,0,1
A20519,مقص امامي حديد L,Front Lower Control Arm,32 SUSPENSION & SPRINGS,Mercedes-Benz Genuine Parts,GENUINE_OEM,8,0,0,1
